UF,Codigo_IBGE,Ente_Federado,VAAT,Ponderador_DRec,Ponderador_NSE
BA,2902708.0,BARRA,7097.5,1.031805,1.025976
BA,2902906.0,BARRA DO CHOCA,7077.63,1.031824,1.01527
BA,2903003.0,BARRA DO MENDES,7159.17,1.031746,1.016567
BA,2903102.0,BARRA DO ROCHA,6112.85,1.032748,1.016243
BA,2903201.0,BARREIRAS,7770.78,1.03116,1.00816
BA,2903235.0,BARRO ALTO,6414.5,1.032459,1.017635
BA,2903276.0,BARROCAS,6402.26,1.032471,1.013892
BA,2903300.0,BARRO PRETO,6839.8,1.032052,1.020139
BA,2903409.0,BELMONTE,8616.5,1.03035,1.016835
BA,2903508.0,BELO CAMPO,7099.48,1.031803,1.013938
BA,2903607.0,BIRITINGA,5217.72,1.033605,1.024956
BA,2903706.0,BOA NOVA,7386.93,1.031528,1.019292
BA,2903805.0,BOA VISTA DO TUPIM,7020.41,1.031879,1.025117
BA,2903904.0,BOM JESUS DA LAPA,7618.15,1.031306,1.015095
BA,2903953.0,BOM JESUS DA SERRA,7630.42,1.031294,1.020757
BA,2904001.0,BONINAL,7229.6,1.031678,1.012274
BA,2904050.0,BONITO,6180.59,1.032683,1.023386
BA,2904100.0,BOQUIRA,7788.66,1.031143,1.024281
BA,2904209.0,BOTUPORA,6185.38,1.032678,1.020219
BA,2904308.0,BREJOES,7304.52,1.031607,1.018437
BA,2904407.0,BREJOLANDIA,7912.93,1.031024,1.018124
BA,2904506.0,BROTAS DE MACAUBAS,7132.75,1.031771,1.016958
BA,2904605.0,BRUMADO,7333.48,1.031579,1.006715
BA,2904704.0,BUERAREMA,7285.67,1.031625,1.019177
BA,2904753.0,BURITIRAMA,7362.68,1.031551,1.02644
BA,2904803.0,CAATIBA,6552.05,1.032327,1.01311
BA,2904852.0,CABACEIRAS DO PARAGUACU,6283.63,1.032584,1.02351
BA,2904902.0,CACHOEIRA,8102.98,1.030842,1.0206
BA,2905008.0,CACULE,6545.51,1.032333,1.010493
BA,2905107.0,CAEM,6057.54,1.032801,1.020071
BA,2905156.0,CAETANOS,7839.54,1.031094,1.017754
BA,2905206.0,CAETITE,8769.16,1.030204,1.015006
BA,2905305.0,CAFARNAUM,6420.4,1.032453,1.020651
BA,2905404.0,CAIRU,6863.51,1.032029,1.018483
BA,2905503.0,CALDEIRAO GRANDE,6790.63,1.032099,1.022792
BA,2905602.0,CAMACAN,8325.16,1.030629,1.018159
BA,2905701.0,CAMACARI,11508.77,1.02758,1.00912
BA,2905800.0,CAMAMU,7472.04,1.031446,1.022527
BA,2905909.0,CAMPO ALEGRE DE LOURDES,6570.99,1.032309,1.026245
BA,2906006.0,CAMPO FORMOSO,6546.96,1.032332,1.02022
BA,2906105.0,CANAPOLIS,7822.52,1.031111,1.02572
BA,2906204.0,CANARANA,6357.05,1.032514,1.019287
BA,2906303.0,CANAVIEIRAS,7670.06,1.031257,1.019739
BA,2906402.0,CANDEAL,7020.58,1.031879,1.025223
BA,2906501.0,CANDEIAS,11613.98,1.02748,1.013488
BA,2906600.0,CANDIBA,7403.65,1.031512,1.014346
BA,2906709.0,CANDIDO SALES,7295.07,1.031616,1.012678
BA,2906808.0,CANSANCAO,5906.37,1.032946,1.022094
BA,2906824.0,CANUDOS,6283.16,1.032585,1.021935
BA,2906857.0,CAPELA DO ALTO ALEGRE,7728.25,1.031201,1.016309
BA,2906873.0,CAPIM GROSSO,5666.18,1.033176,1.015053
BA,2906899.0,CARAIBAS,7666.78,1.03126,1.016719
BA,2906907.0,CARAVELAS,7935.47,1.031002,1.014707
BA,2907004.0,CARDEAL DA SILVA,8344.37,1.030611,1.025738
BA,2907103.0,CARINHANHA,7131.12,1.031773,1.024694
BA,2907202.0,CASA NOVA,7300.06,1.031611,1.025007
BA,2907301.0,CASTRO ALVES,5832.06,1.033017,1.023307
BA,2907400.0,CATOLANDIA,8711.63,1.030259,1.021249
BA,2907509.0,CATU,9089.93,1.029897,1.011964
BA,2907558.0,CATURAMA,7403.62,1.031512,1.017612
BA,2907608.0,CENTRAL,7444.65,1.031472,1.026313
BA,2907707.0,CHORROCHO,7025.48,1.031874,1.027461
BA,2907806.0,CICERO DANTAS,6241.44,1.032625,1.024437
BA,2907905.0,CIPO,4034.26,1.034738,1.023944
BA,2908002.0,COARACI,7347.88,1.031565,1.016165
BA,2908101.0,COCOS,7180.82,1.031725,1.0207
BA,2908200.0,CONCEICAO DA FEIRA,6603.4,1.032278,1.015523
BA,2908309.0,CONCEICAO DO ALMEIDA,6826.57,1.032064,1.019788
BA,2908408.0,CONCEICAO DO COITE,6849.91,1.032042,1.019254
BA,2908507.0,CONCEICAO DO JACUIPE,5761.69,1.033084,1.012375
BA,2908606.0,CONDE,7207.63,1.031699,1.025016
BA,2908705.0,CONDEUBA,7657.94,1.031268,1.008049
BA,2908804.0,CONTENDAS DO SINCORA,7793.04,1.031139,1.019196
BA,2908903.0,CORACAO DE MARIA,5490.58,1.033344,1.023762
BA,2909000.0,CORDEIROS,7553.09,1.031369,1.014906
BA,2909109.0,CORIBE,6858.18,1.032034,1.018999
BA,2909208.0,CORONEL JOAO SA,5796.53,1.033051,1.028411
BA,2909307.0,CORRENTINA,0.0,0.965,1.019567
BA,2909406.0,COTEGIPE,8042.46,1.0309,1.02169
BA,2909505.0,CRAVOLANDIA,7149.73,1.031755,1.016819
BA,2909604.0,CRISOPOLIS,4262.86,1.034519,1.025516
BA,2909703.0,CRISTOPOLIS,7261.95,1.031647,1.021409
BA,2909802.0,CRUZ DAS ALMAS,8070.13,1.030873,1.012814
